INFORME DE COMPARACION IFC - BC3;;
Generado: 05/01/2026 11:41;;
;;
RESUMEN EJECUTIVO;;
398 errores y 136 avisos detectados;;
;;
ESTADISTICAS DE EMPAREJAMIENTO;;
Concepto;Valor;Descripcion
Tipos en modelo IFC;398;Familias/tipos encontrados en el archivo IFC
Partidas en presupuesto BC3;136;Elementos encontrados en el archivo BC3
Emparejados correctamente;0;Elementos que coinciden entre modelo y presupuesto
Solo en IFC (sin presupuestar);398;Elementos modelados pero no incluidos en presupuesto
Solo en BC3 (sin modelar);136;Partidas presupuestadas pero no modeladas
Tasa de emparejamiento;0.0%;Porcentaje de elementos emparejados
;;
RESULTADOS DE LA COMPARACION;;
Tipo;Codi/Nom;Estat
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:408068;No trobat al BC3
Error (Solo en IFC);SIAMGRAND Aluminium Door sliding (f-s-s-f) NOVA 10:2900x2400 Gray:398875;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:421796;No trobat al BC3
Error (Solo en IFC);ASSA ABLOY BE_Doorset_Emergency Exit Door_HardwareSet 3D:930x2110 (1070X2200):404025;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 140 - EXT ROJO:393792;No trobat al BC3
Error (Solo en IFC);EST_FUN_HormLimpiezaVR:EST_FUN_HormLimpiezaVR:414689;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:379487;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_HormLimp:300x300x100cm HL=10cm:355839;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355828;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355873;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:393560;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:387723;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393581;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0915 x 2134mm:421442;No trobat al BC3
Error (Solo en IFC);M_Single-Flush:0813 x 2134mm:423542:1;No trobat al BC3
Error (Solo en IFC);Hormigón-Viga rectangular:400 x 800mm:389208;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355864;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393378;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_PanelHormPref_20cm:358024;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393437;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393589;No trobat al BC3
Error (Solo en IFC);System Panel:Glazed:421777;No trobat al BC3
Error (Solo en IFC);Plataforma:Zahorra 30cm:418774;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393587;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 100:423385;No trobat al BC3
Error (Solo en IFC);Muro básico:Interior - Blockwork 100:423746;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393393;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:394421;No trobat al BC3
Error (Solo en IFC);JACENA I:I-220:352950;No trobat al BC3
Error (Solo en IFC);Muro básico:ARQ_MUR_BloqueHorm_20cm:406413;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420135;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420101;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420100;No trobat al BC3
Error (Solo en IFC);Pilar rectangular hormigón:600 x 600 mm:350238;No trobat al BC3
Error (Solo en IFC);EST_FUN_Zapata_Horm_Limpieza:EST_FUN_Zapata_Horm_Limpieza:355874;No trobat al BC3
Error (Solo en IFC);Barandilla:1100mm:386979;No trobat al BC3
Error (Solo en IFC);M_Parking Space:4800 x 2400mm  0 deg:420116;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:399792;No trobat al BC3
Error (Solo en IFC);Rectangular Mullion:50 x 150mm:393390;No trobat al BC3
